user_id,n_messages,stat_foi,bert_foi,xnn_index,source,orientation
2865728637,542,100.0,49.3,82.3,both,
2159492514,982,99.9,49.4,82.2,both,
963653008,1931,98.3,43.1,79.0,both,双
1197677845,524,98.0,38.3,77.1,both,双
443628409,866,96.6,39.4,76.6,both,男娘+双
2992026817,1862,100.0,0,65.0,both,
2392304699,701,99.9,0,64.9,both,
1295201561,164,75.9,44.3,64.8,both,
3969964584,325,74.3,46.9,64.7,both,
1717582,331,99.3,0,64.5,both,
2933474490,2956,99.0,0,64.4,both,
2948988043,1186,77.9,38.7,64.2,both,双
1046636617,1105,81.4,30.4,63.5,both,双
1026761217,126,70.7,47.3,62.5,both,
1683253039,320,95.6,0,62.1,both,
2957772437,338,94.7,0,61.6,both,
2309689596,127,67.8,48.6,61.1,both,
1306733102,193,75.1,34.6,60.9,both,
3405033743,137,66.2,49.9,60.5,both,
3486940942,198,66.1,46.4,59.2,both,
3175513496,146,65.1,47.5,58.9,both,
3360345621,1144,89.3,0,58.0,both,男娘+双
894841302,165,61.9,48.2,57.1,both,
3236380896,976,56.2,48.0,53.3,both,
2047556159,78,63.0,32.9,52.5,both,
2121888461,1448,78.1,0,50.8,both,
3152570185,77,52.7,46.1,50.4,both,
1915964334,239,60.6,28.9,49.5,both,
3189511804,1496,76.2,0,49.5,both,同性恋
2298816342,1206,75.9,0,49.3,both,
2093211983,6171,75.6,0,49.1,both,
2871749066,71,61.8,19.4,47.0,both,
2275091518,76,57.0,23.2,45.2,both,
2633083674,12644,41.8,45.7,43.2,both,双
941779229,51,42.0,44.1,42.7,both,
3093900534,61,40.5,46.1,42.5,both,
2396044690,98,65.1,0,42.3,both,
1328642501,51,42.0,41.4,41.8,both,
1394876195,85,64.2,0,41.7,both,
1649134132,243,64.1,0,41.7,both,
2098036275,52,57.1,13.0,41.7,both,
1346331874,79,63.2,0,41.1,both,
3211949082,81,63.2,0,41.1,both,
1372648150,61,40.5,41.3,40.8,both,
1359316569,72,61.9,0,40.2,both,
2240678047,146,40.4,39.5,40.1,both,
516370164,70,61.6,0,40.0,both,
2772883784,64,60.7,0,39.5,both,
2218332879,63,60.5,0,39.3,both,
3494489531,1569,59.4,0,38.6,both,
3343564058,4409,59.1,0,38.4,both,
2379295254,59,58.5,0,38.0,both,
1256596164,70,57.9,0,37.6,both,
1621199290,50,57.1,0,37.1,both,
3474281929,50,57.1,0,37.1,both,
819141500,60,56.4,0,36.7,both,
370440143,51,42.0,26.1,36.4,both,
838969717,244,31.4,45.8,36.4,both,
1580128746,67,55.9,0,36.3,both,
1520163187,276,55.3,0,35.9,both,
2789792430,78,37.8,32.3,35.9,both,
2497910862,1981,55.0,0,35.8,both,
258273408,87,54.7,0,35.6,both,
715272580,87,54.7,0,35.6,both,
439161815,588,36.0,34.5,35.5,both,双
3848934393,77,38.0,30.5,35.4,both,
1950459258,63,40.2,26.2,35.3,both,
2786339319,3012,53.9,0,35.0,both,
2625878289,119,31.6,38.1,33.9,both,
2838251598,97,52.0,0,33.8,both,
2032224637,177,22.4,51.6,32.6,both,
1958581299,107,49.2,0,32.0,both,
3510954117,109,48.6,0,31.6,both,
1535752674,86,36.6,20.8,31.1,both,
1306507065,166,24.1,43.5,30.9,both,
375569635,8094,25.8,39.7,30.7,both,男娘+双
2608167684,63,45.3,0,29.4,both,
972242500,770,44.9,0,29.2,both,
3507606624,203,18.3,47.8,28.6,both,
2980156716,2966,43.1,0,28.0,both,
2407973786,50,42.2,0,27.4,both,
2434708716,51,42.0,0,27.3,both,
3038117065,53,41.7,0,27.1,both,
240733212,57,41.1,0,26.7,both,
360504185,57,41.1,0,26.7,both,
1153685627,124,41.0,0,26.7,both,
1850705118,60,40.6,0,26.4,both,
3613984924,60,40.6,0,26.4,both,
399605976,61,40.5,0,26.3,both,
3590861473,86,40.4,0,26.3,both,
1813021745,62,40.3,0,26.2,both,
